	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT2G35340	7	6	14	11	9	42	5	13	28	71	7	10
AT2G35343	13	12	0	0	1	16	7	6	0	11	0	0
AT2G35345	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35350	9	22	26	12	2	13	0	6	16	15	12	22
AT2G35360	30	15	19	25	18	16	16	21	13	45	17	12
AT2G35370	6912	4154	5205	1271	2320	2337	1331	1259	1349	3895	940	1367
AT2G35380	0	0	0	12	13	0	0	0	0	5	0	0
AT2G35382	41	20	37	15	37	33	9	42	13	39	4	17
AT2G35384	69	11	3	48	35	17	14	48	37	27	13	49
AT2G35387	98	25	23	13	20	54	9	15	23	31	15	20
AT2G08725	44	13	0	5	25	5	0	23	39	19	0	29
AT2G35390	655	349	506	1189	738	765	588	501	505	1032	738	1054
AT2G35410	1521	673	1069	355	418	429	190	248	306	905	247	430
AT2G35420	0	0	0	8	0	0	0	0	0	0	0	0
AT2G08730	0	4	1	25	4	15	0	0	0	7	0	1
AT2G35430	56	23	31	17	27	14	48	7	26	64	10	69
AT2G35450	149	70	66	43	39	69	16	39	50	94	19	52
AT2G35460	0	0	0	0	0	1	0	0	0	0	0	0
AT2G08735	0	0	1	0	0	0	1	0	0	0	0	0
AT2G35470	72	42	56	0	5	17	13	18	10	18	6	9
AT2G35480	8	1	24	5	39	66	17	12	25	28	3	46
AT2G35490	926	416	606	168	370	317	250	202	360	552	139	257
AT2G35500	345	281	345	27	89	72	24	52	40	179	57	72
AT2G35510	394	179	303	629	308	391	471	328	517	358	392	533
AT2G35520	263	124	186	89	112	179	41	97	138	194	95	111
AT2G35530	121	61	172	233	211	164	177	98	176	105	105	169
AT2G35540	162	87	141	129	140	238	103	177	143	273	166	235
AT2G35550	0	8	6	36	23	37	53	25	84	31	24	23
AT2G35555	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35580	0	0	0	0	0	0	0	0	0	0	0	1
AT2G35585	0	0	0	0	0	0	0	0	1	0	0	0
AT2G35600	3	4	6	0	0	2	0	0	7	4	3	8
AT2G35605	248	105	216	101	217	54	152	79	159	142	85	243
AT2G35610	378	193	280	556	301	399	383	249	419	630	438	606
AT2G35612	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35615	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35620	69	69	80	56	78	55	51	41	48	107	66	101
AT2G35630	893	242	547	805	488	659	664	527	745	848	460	887
AT2G35635	1153	1248	1077	998	1934	1161	1722	1432	1552	1517	799	1436
AT2G35637	4	12	17	5	0	0	0	0	3	2	0	7
AT2G35640	0	6	0	0	0	0	0	0	2	0	0	0
AT2G35650	172	82	156	146	104	129	108	59	61	233	93	171
AT2G35660	64	46	59	38	22	21	6	4	9	37	10	13
AT2G08740	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35658	1	9	13	16	4	0	3	10	7	26	2	10
AT2G08745	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35670	0	0	1	0	1	0	0	0	0	0	2	0
AT2G35680	1669	1705	2104	1767	2271	2454	1479	1918	1567	2629	2027	2693
AT2G08750	0	0	0	0	3	7	0	0	0	3	8	1
AT2G35690	116	45	97	3	24	45	48	27	37	47	34	50
AT2G35700	43	46	29	37	44	96	130	146	165	101	26	32
AT2G35710	28	7	5	7	50	23	10	17	18	56	13	27
AT2G35720	150	106	187	180	346	224	164	290	374	313	165	253
AT2G35730	0	0	0	11	2	0	27	35	82	1	0	0
AT2G35736	10	42	31	10	96	70	50	253	75	65	34	46
AT2G35733	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35738	38	5	0	14	14	9	15	3	8	15	10	1
AT2G35740	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35742	3	0	0	0	1	0	0	0	0	12	0	0
AT2G08755	13	0	0	0	0	0	0	0	0	0	0	0
AT2G08760	0	0	0	7	5	5	0	0	0	0	0	0
AT2G08765	26	7	31	2	18	11	1	19	31	16	11	12
AT2G35744	18	14	9	28	0	33	0	11	10	21	3	4
AT2G35750	7	0	0	0	0	1	1	0	9	3	0	6
AT2G35747	0	0	0	0	0	0	0	0	0	0	0	0
AT2G08770	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35760	522	480	292	225	445	266	163	135	171	605	330	223
AT2G35765	4	0	0	0	0	0	0	0	0	0	0	0
AT2G35770	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35780	574	243	495	174	256	153	137	222	165	302	183	269
AT2G35790	539	232	266	220	447	383	287	245	333	368	228	348
AT2G35795	272	194	185	89	145	126	80	126	78	145	94	120
AT2G35800	669	319	777	175	197	352	61	99	116	375	95	284
AT2G35810	152	116	213	116	241	182	176	251	177	273	82	169
AT2G35820	9	6	14	8	4	17	4	11	1	8	6	9
AT2G35830	1339	709	1086	273	401	331	265	203	295	466	175	277
AT2G35840	397	242	271	127	233	242	290	223	284	373	211	301
AT2G35850	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35859	0	0	11	13	6	12	0	7	3	5	2	7
AT2G35860	2424	899	1516	1036	1294	1920	2352	1189	1903	2128	877	1499
AT2G35880	830	389	648	176	314	502	269	276	265	484	304	278
AT2G08775	0	0	0	0	0	0	0	0	0	0	0	1
AT2G35890	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35900	213	194	205	127	191	135	141	160	117	191	188	219
AT2G35910	2	8	2	22	32	17	7	5	31	37	10	25
AT2G35920	308	70	214	167	216	242	153	259	315	280	145	287
AT2G35930	51	33	35	91	46	92	27	74	63	68	50	101
AT2G35935	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35940	979	470	852	3017	1884	2004	3386	2079	2123	3311	2201	3752
AT2G35945	202	154	185	189	105	136	29	64	64	124	91	179
AT2G35950	0	0	3	13	0	1	7	16	5	4	8	1
AT2G35960	1587	687	1141	535	455	506	639	326	239	1097	392	743
AT2G35965	0	0	0	0	3	6	0	4	0	0	0	3
AT2G35970	0	0	0	2	0	0	0	0	0	0	0	1
AT2G35980	8	3	12	220	197	204	88	43	136	139	140	240
AT2G35990	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36000	675	210	474	166	167	212	157	85	101	288	84	194
AT2G36010	64	5	34	22	6	7	10	0	36	15	4	15
AT2G36020	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36026	0	0	4	0	0	0	0	6	1	0	4	0
AT2G36030	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36050	93	24	46	5	2	14	1	1	0	38	16	0
AT2G36060	449	273	399	219	398	275	354	359	353	439	211	295
AT2G36070	193	153	252	252	217	244	248	221	183	202	109	157
AT2G36080	46	18	20	68	54	38	209	89	32	6	16	94
AT2G36090	145	51	101	187	46	130	24	10	47	167	19	120
AT2G36100	0	0	0	0	0	6	1	0	0	0	0	0
AT2G36110	13	5	22	18	0	27	6	0	0	13	10	13
AT2G36120	2289	826	1556	733	1028	1157	891	1415	1398	1755	539	1003
AT2G36130	783	273	531	414	483	462	478	408	534	727	183	449
AT2G36145	550	418	441	77	182	205	95	130	116	309	112	136
AT2G36140	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36150	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36160	6728	3069	3794	4153	5357	4163	3844	3626	5447	6073	2863	7095
AT2G36170	1552	784	1143	882	1096	1152	771	746	1162	1078	466	1194
AT2G36180	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36190	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36200	22	0	10	0	10	8	2	8	5	9	0	0
AT2G36210	0	0	0	6	0	2	6	0	0	2	0	7
AT2G36220	224	229	363	407	434	432	170	185	304	525	233	571
AT2G08780	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36230	104	83	110	8	39	43	68	8	13	53	25	38
AT2G36240	395	218	351	143	223	219	137	155	164	339	183	233
AT2G36250	1931	1153	1513	640	866	915	697	727	902	1270	491	881
AT2G36255	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36260	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36270	59	22	71	101	129	129	154	146	132	115	95	105
AT2G36280	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36290	165	84	136	168	182	189	131	145	187	258	97	128
AT2G36295	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36300	578	276	449	772	907	546	432	507	534	776	621	830
AT2G36305	72	61	47	93	122	59	122	78	80	96	38	66
AT2G36307	38	25	47	13	17	18	43	18	22	42	14	36
AT2G36310	163	92	195	85	155	94	44	85	103	159	66	86
AT2G36320	2880	1976	3389	2305	2168	2883	2264	2196	1635	2895	2068	3303
AT2G36325	2	0	0	5	0	7	11	0	0	8	0	18
AT2G36330	89	40	58	57	110	97	81	57	110	84	63	123
AT2G36340	204	99	144	70	121	173	62	91	111	172	87	157
AT2G36350	82	36	60	23	21	66	26	5	28	27	14	44
AT2G36355	21	8	7	10	11	6	10	24	4	45	2	13
AT2G36360	466	156	151	360	192	225	231	133	297	199	132	304
AT2G36370	10	7	24	9	5	9	8	0	5	11	1	3
AT2G08790	0	0	0	0	0	0	0	0	0	0	0	0
