	DC3000 - mock	SUPP1331 - mock	delta - mock
AT5G04980	2.12675161717389	2.53179254492615	0.883549567138388
AT5G05085	0.322502060684035	-0.677504267927803	2.4480964282416
AT5G05250	0.919382655370653	-0.112295469775097	1.60483105738184
AT5G05680	2.01720561047636	1.88752482831024	0.755173004692924
AT5G05890	-7.01466383268508	-2.1217359800158	-3.49510454607024
AT5G06000	-1.98290190833369	-1.55723396941648	-3.209210567101
AT5G06240	-0.751165036225417	-0.32856524762545	-1.60421933509822
AT5G06330	-2.49669522014455	-0.383427500921214	-2.26540425042278
AT5G08370	-2.34165658943658	-0.669724515398593	-1.70514008063934
AT5G08770	2.04549040153637	1.81018854597707	3.1181565608044
AT5G09290	3.05210795086567	1.0387734736166	2.32518244690583
AT5G09350	1.62577890073598	0.0184449229001014	1.67822990583165
AT5G09980	4.39719065640838	1.90898895409669	0.447663902198083
AT5G09995	-2.60946920234447	-3.18110697371984	-1.93151372173517
AT5G10310	-4.580622788219	-3.26244831126103	-5.48405619087806
AT5G10510	0.329216170702913	0.826321695391707	1.9135775607635
AT5G10946	-1.69921685925719	-0.64027751352582	-1.82646014650284
AT5G11250	-4.53716221120211	-1.04617818862051	0.580975184335868
AT5G11470	-2.03434102885616	-0.923769976452003	-3.58610264543568
AT5G11690	-2.13068383736746	-1.29537576651766	-0.247737507559985
AT5G12900	-5.36311889929845	-2.78079513120061	-1.63514346085462
AT5G13330	6.2066647965449	0.908090325935779	3.54300636777196
AT5G13660	-1.89281071840951	-2.5240268351017	-1.18977575839537
AT5G13820	4.02371962184556	2.28431286414553	1.03731350683621
AT5G14100	-2.73939865212444	-1.16586383068913	-3.55063354412121
AT5G15430	4.21693139685596	1.17370881580997	-0.0663361853225952
AT5G15760	-0.988624529580945	-1.85474724377515	-0.734000180926931
AT5G15780	-2.05042297163211	-1.01800850804107	-2.17833223520783
AT5G17210	2.55380298634104	2.12942685893024	0.342897491001454
AT5G17490	6.11070499614788	2.44654372837442	1.27248788482954
AT5G17660	-1.37830815165228	-1.42933483096659	-2.52828718529374
AT5G17780	3.05668461090663	3.10467954651221	0.890850815531985
AT5G18080	-3.03739143719859	-0.945787872881295	-2.74222729273904
AT5G18360	0.181979294623821	1.58325707499662	0.141011436232187
AT5G18410	-0.992066795378507	-2.34926791793964	-1.30872710617764
AT5G18770	-0.674913568843096	-2.8843531114126	-0.831144897556538
AT5G19110	6.83176483193336	1.97819057506451	3.41702466824597
AT5G19210	-3.25901667320669	-1.45878354431741	-3.14584160432865
AT5G20630	-5.24124807288178	-2.80933101254079	-1.69117506319704
AT5G20670	-3.71012857948545	-3.01215229017789	-4.80855252818604
AT5G21280	6.17469388936237	2.64554320310553	3.80602365354172
AT5G22310	-1.30118018054566	-0.317546755320618	-1.38099724485482
AT5G22788	-2.60121200973427	-4.149826663486	-0.934547315833448
AT5G22820	-1.3631313044713	-0.725745782855035	-2.54248825977373
AT5G22920	-4.0824561936191	-2.53667684302166	-3.85713363880549
AT5G23160	4.35399602139401	2.70097942403638	4.64175387244612
