	DC3000	delta	mock	SUPP1331
AT1G31290	1.60524134677938	-0.215792761630586	-2.82011024123283	0.692047474498977
AT1G31300	4.04537755445032	4.10851500649595	4.74370460221666	4.30124313349804
AT1G31330	11.0525924262336	11.5036134546326	12.2884324262083	11.3150385250641
AT1G31335	2.2134671785013	3.03747277234458	2.47216913221257	2.76327249844712
AT1G31340	7.34737304948023	7.42226060819724	7.16798887713768	7.22616514288976
AT1G31350	1.59495253876196	3.56302927186046	3.40095989215743	3.24766795420248
AT1G31360	1.88182966057881	1.61998417333968	2.2967363674281	1.75322228552697
AT1G31410	1.7419241992198	2.27379404472382	3.41579927310645	2.51578233599283
AT1G31420	5.04432332153752	5.51007516122517	6.07542467869494	5.58428416070987
AT1G31440	4.23895695968197	4.62150585967511	4.00584958955398	4.30762612326333
AT1G31460	2.1024547797756	2.83802675962457	1.08348431703033	2.87185787886276
AT1G31480	0.623469444920638	-1.06594892861006	0.914250615183554	-0.854543339355532
AT1G31500	2.92139413393292	3.04807786463746	3.14051329463876	2.94800502680342
AT1G31540	7.02791711632804	7.10877499809373	4.54939488439882	6.89585934729472
AT1G31550	5.47038714920945	4.07326355158504	2.76227234752083	4.38356269763542
AT1G31580	11.727425686424	11.9609922527243	12.1251805655962	12.1209516405519
AT1G31600	3.32243940794113	3.23440010326244	3.29755150108529	3.34686354435348
AT1G31650	1.71976244732042	1.7502015680604	3.45879047928263	1.07285776075635
AT1G31660	5.27077453288413	5.22601656138329	4.96835524929396	5.05402439899761
AT1G31690	-0.329738139091556	0.488981613294524	2.04499952772078	1.0792839772945
AT1G31710	1.26751833123422	-0.00341167686512259	1.23707189186165	1.04663174332146
AT1G31730	5.4866032084199	5.30453473913252	4.7005475043615	5.09139046197256
AT1G31750	0.920449138439164	0.35234756768232	-1.57261416017316	-0.141147079741645
AT1G31760	1.15725884612443	-0.903651754443826	-0.226530374275498	-0.742083187146542
AT1G31770	0.827979377325907	-0.679356866403551	1.48129657835058	-0.208573875815618
AT1G31780	2.16740986823481	1.31710697271954	1.88873532204686	1.80747730024952
AT1G31790	-0.181673473473355	-0.383181875226988	-0.220630976825248	-0.43928149558367
AT1G31800	3.13415602728352	2.44795454494947	4.12630100093347	3.08634052801628
AT1G31810	1.2420325037701	0.0474993925771715	0.356982167296596	-0.190378681536953
AT1G31812	7.47661686740079	7.03183742248523	7.93828123537812	7.21248303956818
AT1G31814	0.985941089919222	1.24169342367775	1.6225236157106	1.8449412246586
AT1G31817	4.37904707984749	4.37840278049003	4.26852728598299	4.09458170530774
AT1G31820	-0.492994324398814	0.81148025800101	2.72462135206823	-0.765280203815403
AT1G31830	2.26076495313906	2.07778707520562	1.78582939234982	1.92099569235235
AT1G31835	1.03943632998729	1.47445606631777	2.41733525879023	0.150472951329411
AT1G31850	3.86588998811938	3.85868334105831	3.84765627593755	3.790047345854
AT1G31860	4.78636074802515	4.35499956385235	4.35268672336959	4.64862568742663
AT1G06457	0.0477528830257475	-2.83610249782418	0.382193194431749	0.274243565035523
AT1G06463	0.149593745195779	-0.0581896348323944	-0.621321522626609	0.663668640001155
AT1G31870	4.45168556073688	3.87637902997508	3.84451701667152	4.21888776348998
AT1G31910	6.31506587060026	5.7948210377138	6.26022842955312	5.94291944091161
