	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G07200	0.685293740949804	0.513053460658309	2.50563579183207
AT1G07260	5.1800070961798	2.37306529492958	0.358191079934535
AT1G07280	-1.4988164579198	-1.83942372195606	-1.39102370522975
AT1G07320	-2.05175888118517	-1.39610430544059	-1.19782733176565
AT1G07370	-2.53315423489169	-1.97019535412033	-0.886176662993423
AT1G07400	1.80150240060613	0.117315147015569	0.538321172976829
AT1G07430	3.31591864266173	2.32760469722697	2.3326360075421
AT1G07440	-3.15698498850914	-1.56594496866484	-1.56064661640964
AT1G07485	-3.001201994122	-3.63030281068542	-3.91508970397286
AT1G07510	1.28204391148821	-0.256574438459594	-0.0262012392219275
AT1G07500	6.46905558571819	2.27167018296441	1.35531348961292
AT1G07520	0.522596550801528	1.08569181103717	1.86819476292962
AT1G07590	1.71169149665946	0.319657347565741	0.549310277879394
AT1G07610	2.35965602355193	0.355860953162781	0.286890609681076
AT1G07615	1.40433959402064	0.305113303155555	0.603962303004957
AT1G07620	2.68504890461637	2.61342124180521	2.63666032270636
AT1G07630	1.90838320646331	1.25690706429263	1.13607835122254
AT1G07670	1.69030495964828	1.21738205268488	1.27955307441988
AT1G07720	1.00993666155736	-0.113089484492495	0.276624682131161
AT1G07728	1.08035197786917	0.986417764841547	1.18482495150114
AT1G07820	-1.70418820334112	-0.831398414967848	-1.02705391970951
AT1G07870	2.23451006845896	1.44178906687902	1.2075804410791
AT1G07980	0.752562162367942	1.022586447394	0.761684029975719
AT1G08000	1.35650594245213	0.691640739199826	0.286776107377861
AT1G08010	-1.01839893663811	-0.392398054209971	-0.143831313139262
AT1G08040	-0.191312597258638	-1.02433367710493	-1.32967705587456
AT1G08050	4.96693654363447	4.65036336493863	4.94593874656847
AT1G08115	2.0047283984477	-0.0236338499251167	-1.10305451226673
AT1G08200	1.71906641280314	-0.185428752243808	-0.294356397318077
AT1G08230	1.33456155725812	1.02934878586284	0.958249688267655
AT1G08280	-4.29769804421636	-4.39983650015628	-1.23808889790137
AT1G08340	2.15233661903035	2.21870419637146	2.50917157615442
AT1G08380	-1.0940449561957	-0.878489534663148	-0.696135445733246
AT1G08390	-2.468423238844	-1.40681155549791	-0.477447276939508
AT1G08450	0.288172206301269	1.33028960426765	1.15841563261498
AT1G08520	-1.84309405727621	-1.14089517422079	-1.63580443719072
AT1G08540	-1.82522207721212	-1.01893988407034	-0.815608200633894
AT1G08550	-1.77079359781924	-1.28219567130664	-1.11043925586804
AT1G08570	-1.43080396694657	-0.786448940070879	-0.247217328503216
AT1G08592	-5.01234811536533	-1.19362152750857	-1.45904536696388
AT1G08600	1.06622771697474	1.18444838541787	1.24927844354796
AT1G08660	-1.28417201437236	-0.903215278567264	-0.886026470841748
AT1G08760	1.53116739769429	1.27400609298125	1.12673224907522
AT1G08810	-1.86500258725016	-0.393053028826422	-0.637174868597095
AT1G08880	-1.78267739950807	-0.860663648652113	-0.945801888828727
AT1G08890	-1.3079059210292	-1.2652543903072	-0.915518900688396
AT1G08900	-2.17177010658066	-0.833935279070457	-0.848035478924205
AT1G08920	4.08844356089612	1.82001514750855	1.91617662101652
AT1G08930	0.338157536972077	1.53633521641578	1.63512856789236
AT1G08940	2.05239488579715	2.33694195777048	2.30760756735246
AT1G08980	-2.71672202487206	-1.33112528156748	-1.2719170665915
AT1G09010	-2.62652713446054	-1.53617723239653	-1.76887063453416
AT1G09020	1.2354083106827	0.794508482924472	1.2871267489775
AT1G09070	0.755618471277109	1.20731483118818	1.19488532700919
AT1G09080	-0.0260298363021416	2.03950179206495	2.08810740216096
AT1G09100	1.24625375710451	0.556061918280248	0.549857300780115
AT1G09150	-0.0597842459184608	-0.434400567935834	-1.00814440847626
AT1G09160	-1.13540702995002	-0.797430289044303	-0.993519664523363
AT1G09195	0.658534731050723	1.43829693971155	1.13116282148496
AT1G09200	-1.50688347311693	-1.43500710845326	-1.30207917283438
AT1G09250	1.13747850543294	0.767747703612291	1.16508581907439
AT1G09310	-1.70664400336726	-1.77051304417774	-2.01955848804571
AT1G09320	0.406340456731188	1.07469552917022	1.12178558501977
AT1G09340	-1.92278528165261	-1.61022208725835	-1.86180085654302
AT1G09350	-0.995589977565156	-1.05781901986213	-1.31838614600813
AT1G09390	-3.15855335823896	-1.60225048209053	-1.06936884645559
AT1G09415	-1.7668175252275	-1.22653293926416	-0.90374272795325
AT1G09430	1.01623182696105	0.744406255077127	0.644945366040457
AT1G09440	-1.70295768637179	-1.00862233340552	-1.21749410042885
AT1G09500	4.74326384342294	0.926099740204098	0.926931054332397
AT1G09520	0.698120148067142	0.860390648492175	1.10296930492258
AT1G09560	1.09588210986524	1.17153642163218	1.50327465630586
AT1G09580	-1.78286545585319	-0.929083552699528	-0.637237814458948
AT1G09630	1.31252304515115	1.66072693411428	1.36692222869506
AT1G09645	0.915459292159388	0.860728810565208	1.16366731923938
AT1G09660	-1.3783353931205	-0.896034491849906	-0.746999128734896
AT1G09710	-1.92598138023046	-1.97040941984514	-2.69818178719666
AT1G09740	1.76079148551089	1.44758750240257	0.698017952418329
AT1G09750	-5.52669858158852	-4.26737158949909	-4.12641772673024
AT1G09770	1.05310424245876	0.829853877586241	0.893386305853147
AT1G09815	1.15072582776295	0.952604475752348	0.688654262055493
AT1G09900	-2.11859283181039	-1.72497181001169	-0.766450895119801
AT1G09930	2.88539710309101	4.83538159394484	4.97376737384294
AT1G09932	3.70212071275743	4.15552960405674	4.00305619721105
AT1G09940	0.836266606385928	1.08551678570559	0.730867202858363
AT1G09950	4.34621291604181	2.97554984420294	3.71799222557674
AT1G09960	2.49169050742389	2.00227070967446	-0.127092999685792
AT1G09970	3.54713921604912	2.86293189632112	2.89707376816263
AT1G10020	-1.34607840814856	-1.21345361578586	-1.10585826225794
AT1G10040	1.48245293317517	2.90949901950216	2.55432056121527
AT1G10050	1.29908621456281	1.83010021545886	1.96219779130481
AT1G10070	2.73531449862638	2.58675740889185	2.03181116391188
AT1G10090	-0.815006656610834	-0.589041379422738	-1.08987497864759
AT1G10140	2.73607977527631	0.767629943384418	1.19231781595427
AT1G10150	-1.48700252380448	-0.77450893382816	-0.941945726362047
AT1G10170	1.397509517683	0.929538125413639	0.929239127822108
AT1G10210	0.963003246418273	1.9451889629197	2.450279261233
AT1G10280	0.514036095499665	1.07162632175704	1.58836270818585
AT1G10310	-0.321138686955737	-0.308848802416326	-1.2573091037802
AT1G10340	2.55479664048065	3.20214948750082	3.03535931686288
AT1G10360	-2.52337019436502	-1.05364147904355	-1.35046661402234
AT1G10370	2.11906006461049	1.33712129722771	1.36042100751491
AT1G10410	3.17722158377325	2.08776428466984	1.65634635166589
AT1G10417	0.896950474426353	1.23748602752122	1.77914775298523
AT1G10450	0.973729894055833	0.637275304609337	1.49581757947884
AT1G10510	-2.01439855885207	-0.708958052005101	-1.08617557108653
AT1G10522	-1.33520733604484	-1.35084120271602	-1.31447733730356
AT1G10530	6.1294964393279	2.38191407450997	2.50214706089118
AT1G10560	4.37177162882173	2.60182404876107	3.68606348634993
AT1G10580	1.35802093681513	0.454760748030811	0.363034609125222
AT1G10585	3.89529354893469	1.72706443508409	1.76362271092713
AT1G10590	1.51892471384924	1.15034125770684	1.12493611736414
AT1G10657	-2.26986538581201	-1.67804678863562	-1.76766434814376
AT1G10660	1.59133230159695	0.849427275349396	0.959625081788239
AT1G10690	2.09326554283655	2.37352125012772	2.43958701278662
AT1G10700	2.03329741883164	1.29288060667029	1.1097545098104
AT1G10730	0.382003727444905	1.04707414324389	1.10372180960367
AT1G10740	-1.27757925050468	-0.541878926458495	-0.424196474108175
AT1G10760	-0.71056537677875	-0.960590300598667	-1.12017421553351
AT1G10770	1.60566516596767	0.821728355726951	1.0972907651514
AT1G10820	-1.13097154278515	-1.30079968384045	-0.92818036698054
AT1G10850	-0.301263254557503	1.81825230993382	0.407764559963854
AT1G10865	1.78009025091416	1.69106452507487	1.41618669179766
AT1G10910	-1.36908805885421	-2.04769945568198	-0.515664507654131
AT1G10960	-1.79806174969028	-1.74010912653582	-1.58590677927754
AT1G10970	-1.25544515915969	-0.636628608415762	-1.34650129340301
AT1G11050	2.55027806969628	2.11079625605285	2.01686860411974
AT1G11090	-1.19066077693428	-0.674484572767862	-0.98699972598902
AT1G11130	-3.34629724909649	-2.58715752274442	-2.48354930765423
AT1G11170	2.10278373447766	1.06043734450262	0.0831213083069325
AT1G11180	-1.2754321038172	-0.690971169571931	-0.65352364055983
AT1G11185	4.88610071764915	3.10636093271797	-0.0715135379195335
AT1G11200	0.0928214171292541	1.32330305227023	1.44497142751813
AT1G11220	3.87129673564061	5.12418833650037	2.50950765830452
AT1G11280	-2.26903217696949	-1.45496758298608	-2.23591181190502
AT1G11290	-4.23377773300799	-2.88692606726169	-2.18693017099228
AT1G11310	0.831049354589107	1.31575462283656	1.1318550150096
AT1G11320	1.78577465674094	1.4665342958363	1.83506311815022
AT1G11330	1.37177779089823	0.860472277500282	0.788818265456734
AT1G11350	-2.53210489768636	-1.25097662227576	-1.62557963430294
AT1G11390	0.695199463545201	1.48784640728634	1.95632526915649
AT1G11400	3.09999765773679	1.94681994545969	2.09774761942688
AT1G11430	-1.35800312535227	-1.14849155136486	-1.20577285628186
AT1G11480	1.5644740978879	1.14950750407433	0.942032146171593
AT1G11530	-1.79408651941197	-1.05908830285148	-0.871398396579555
AT1G11540	3.41708163512431	4.42709118249241	0.594428094388334
AT1G11580	1.33223276388299	-0.0541396815526918	-0.448834179012787
AT1G11670	0.0988147999994258	-1.07561549714052	-1.66789865290396
AT1G11700	-2.95661731357355	-2.38657884348319	-3.00478326342271
AT1G11720	-0.826515364946315	-1.1993352582848	-0.844019458479057
AT1G11740	-6.14220889345125	-3.4609681949237	-5.28158266404012
AT1G11790	0.66185577442311	0.683685244186048	1.05287322948418
AT1G11800	1.06722241221277	0.904171448417062	0.69796143423422
