	DC3000	delta	mock	SUPP1331
AT1G03020	0.342566722834927	0.847379135951747	0.541713390153642	0.800626202769369
AT1G03030	0.442478676747384	0.439639283186652	0.334225088241764	0.576660019147852
AT1G03040	0.160615027601052	0.154469717460649	0.155292520214466	0.184946170178217
AT1G03055	0.604503572889866	0.707775851571424	0.475277619653542	0.574618386605899
AT1G03060	0.359665408457441	0.304905267161801	0.33307940923653	0.385843897258342
AT1G03080	0.20383965603852	0.199807226930201	0.201030219210646	0.242768292421412
AT1G03090	0.886065304293898	0.46307157789889	0.278528344373363	1.058627356154
AT1G03100	1.27609744005059	1.1757753999299	0.51414270078303	1.22336117765191
AT1G03110	0.603474321435039	0.529672015655289	0.481442960037315	0.774135449214284
AT1G03130	0.209802780257081	0.193515050174809	0.184132955674584	0.236390218092602
AT1G03140	0.135791815188124	0.129654346792584	0.132865882727223	0.156538712262449
AT1G03150	0.250879572236028	0.237176083329187	0.21051114796473	0.295920853905553
AT1G03160	0.281948417369048	0.281530598615539	0.209872647602455	0.294689247734173
AT1G03190	0.380678272523815	0.305434515250795	0.3893540009067	0.422862321661087
AT1G03210	0.168167605195348	0.146994474997969	0.149530371671252	0.167232507581556
AT1G03220	0.244104247329143	0.171162537748622	0.208988807757591	0.240038553393641
AT1G03230	0.425789202486907	0.333114594964142	0.481802999147978	0.593732924690846
AT1G03250	0.199350333314106	0.212327099016861	0.196128378757069	0.24680601898727
AT1G03260	0.415434977045615	0.30264113532772	0.377794757618445	0.39321210677641
AT1G03270	0.334239525393984	0.311113641978519	0.23477669417831	0.401587553925459
AT1G03280	0.217957030721345	0.204890029118301	0.212933202351817	0.252328787053906
AT1G03290	0.140630257644617	0.132462520617319	0.146191086880909	0.159187122454456
AT1G03310	0.234232308461569	0.178974853604604	0.134203057583524	0.235883712356966
AT1G03330	0.20240374740641	0.191496093564713	0.195485546823474	0.242507859512066
AT1G03340	0.46642824904566	0.32939407711857	0.416716241426387	0.408063808504205
AT1G03350	0.219855925010935	0.197302250571144	0.217376068971833	0.248815527381846
AT1G03360	0.394081758402397	0.423953560822396	0.31178017113464	0.40166490960207
AT1G03365	0.407146885474037	0.34302968868229	0.340885760740859	0.437077950268247
AT1G03370	0.226184934445925	0.205705091221435	0.233980802372609	0.250048607733513
AT1G03380	0.190519457269744	0.167347405718281	0.163773086944643	0.200266205988358
AT1G03400	0.314171323816364	0.279937728145421	0.272993912664531	0.308797374592904
AT1G03410	0.495460743536584	0.374838288620581	0.267794300440661	0.430653965278387
AT1G04183	0.286194437045579	0.25132034172781	0.208753945715937	0.286774729844896
AT1G03430	0.243526416967156	0.227852520506076	0.238854469289439	0.280125931094973
AT1G03440	0.54405091610829	0.29267738926865	0.261875805133518	0.432779181277716
AT1G03470	0.458023491981399	0.397381816753299	0.415302650477307	0.70510762723039
AT1G03475	0.138530922894471	0.129348777038202	0.123474599848658	0.155714528145166
AT1G03510	0.480339182574694	0.286296014662405	0.253932194485531	0.295883405905127
AT1G03520	0.532230763078555	0.411774728793511	0.444549703280699	0.445987057969728
AT1G03530	0.216428270492844	0.208062541501864	0.213615987122423	0.254622786508523
AT1G03550	0.293622576628206	0.491043618560214	0.262420043849502	0.475438035823321
AT1G03560	0.42105303002232	0.239714202671425	0.204979001647979	0.381759518741818
AT1G03590	0.146538432144187	0.141706200027738	0.129514072287483	0.167168272007822
AT1G03600	0.293595353436882	0.233053835643498	0.209974345993988	0.290474628034383
AT1G03610	0.157136226015518	0.15615829366081	0.129608218887835	0.178000762242454
