	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G01430	5.74069198962282	4.99458672385463	5.61168317554775	3.2579003300946	2.11361350228122	3.33880230634439	3.41506652184937	3.16589409098782	2.31644931539397	3.75576905181771	1.89378742442162	3.1370681767022
AT1G01440	3.25963280228607	3.14902064355445	4.25110672236725	4.97168113684001	3.91538739207552	3.91800553777686	4.28305160619531	4.31750721415319	3.99377583426379	4.41483923431608	4.5725320714634	4.71030138484125
AT1G01448	1.88473469386044	0.537585931472099	1.75959839722834	-0.0432692046259664	0.676749640549193	0.724810757011699	-0.926401759433641	0.15807458652852	1.23047609228412	0.922477340576484	1.44240807807906	0.861126287089016
AT1G01470	6.98558930247889	7.97653176185518	7.3364585794454	7.19149121311267	8.69274253915551	8.10809357853888	8.02063739045835	8.94555134188098	8.06979040208341	8.93290554029341	8.39208593001648	8.01147091956181
AT1G01480	-2.2504248894212	-1.89537347580401	-0.872669818271176	4.02793774586645	4.00919560735055	1.77664968853132	5.33355544287114	5.02037503111297	5.76718342439806	3.82478066668935	4.73158007970003	3.62749279769578
AT1G01490	8.74443360434493	8.18331107039063	8.6413208991558	8.58209174959165	8.17348165610732	8.59802977083346	9.19477851692339	9.38553357593912	8.85021342722128	8.1557165698139	7.97331200947724	7.99263023309197
AT1G01500	4.85959226799804	4.37888818545304	5.59221623045823	5.68982684307859	4.62525932535945	4.45206714019798	4.61698163753612	3.94285166061091	5.20655025303864	3.93103935407991	4.5036552669056	4.78302554904237
AT1G01510	4.96042036733443	4.32573024956387	5.21054354997781	5.56582156698808	4.4459021087743	4.68240831464992	4.30416459334851	3.95192524423638	4.50872174835409	4.46286680521038	4.23283969710019	5.03262199640656
AT1G01540	3.87591084347343	3.98726957355783	4.13631896495608	3.78841504679338	4.14256487597735	4.5396862610391	3.91337464031634	3.79941955714719	3.81965084429219	4.08730447437912	3.98251634301595	4.18022279119322
AT1G01550	6.73866544758305	6.49092015934698	7.05767328645939	7.87075992628377	7.43261424741705	7.28052218302238	7.52068146677601	7.11277666205323	7.50382183973513	6.75536735474123	7.20328074645436	7.3880665619755
AT1G01560	3.31290759532842	2.92224978170742	2.60414387859436	8.09652574339027	7.9740573901385	6.88147966175174	6.07052103703735	7.05920382198446	7.11996671328318	7.2594974189741	8.21544633467514	7.54817599396706
AT1G01580	-0.665462388700039	-1.40994664863376	-0.13570422410497	-2.85062412668357	-0.28848494129013	-0.384813734162799	0.823619987558012	1.93829337864861	2.31644931539397	1.68666440347771	-2.58733926531499	1.11943828268041
AT1G01600	0.368484943223298	-0.516861852550277	-4.77956041387969	-4.43558662740473	-2.35887426918153	1.90641756350165	-1.21590837662863	2.1102460614379	1.07001142009088	0.499786268754205	-0.471862047895057	1.07134399447936
AT1G01610	7.75339415924252	7.64804507412541	7.54602613133088	7.29869960469162	6.61783304266535	7.54996346291258	7.56799930407434	7.12986802270749	7.09932571679373	7.38268942720192	7.2523894254768	7.58235953657229
AT1G01620	7.64374325509563	8.082192668318	8.25162384826115	6.96689254481024	7.24141035371656	7.14902826425675	7.11052111049368	6.85791104518314	6.87483840205733	6.7705537585559	7.25553483742237	7.28178833556174
AT1G01630	3.33023747386633	4.15338583611585	2.87149127729923	2.59783637413272	2.94124945538749	2.98931057184999	2.57995090659115	2.92913337936313	2.49561816107991	2.2213218223508	2.13147898214095	2.34857228189591
AT1G01640	0.824863237883042	0.640679424436203	1.24280739914876	0.0879753286522865	2.49910672594604	1.93711436072456	0.369054124092531	0.588708940858382	0.755138082737463	0.726557130601227	0.956981250908817	1.02159095928226
AT1G01650	3.43006022234425	3.95762411180931	3.20343316081462	4.38778061264151	4.58832431508053	4.13213034312971	5.29188626357007	5.44668993598595	4.98442586608121	4.34394110901476	4.04201735476462	4.28936328412272
AT1G01660	1.78771023946558	2.01151711980451	2.06592963706468	2.94811766506933	1.34156544895956	3.4913800642228	2.94508350004368	2.37597961687265	2.89743196520259	2.3964085289089	2.94663930668736	2.40786946557968
AT1G01670	1.83703795182914	1.80506624233709	0.349722603065272	1.63050256305305	1.29647755943103	2.16167461874372	-2.06390528318358	1.41587234399617	1.46367526857715	1.73961328342667	1.55561868852705	1.11943828268041
AT1G01680	3.10712711519689	3.7193363683112	2.96863243570977	7.04873279623954	8.12514298773404	6.86361324095823	7.35689709844824	8.09880310432227	8.23698672710779	7.60005717128396	8.00978216347458	7.03927849232313
AT1G01690	0.964588001549655	-0.757869952054072	-0.692097572629355	1.79323206309115	1.62297838410821	0.981968596508823	0.472147617056634	0.588708940858382	1.41995389114783	2.18360215640165	-1.00237676459384	1.84691242786932
AT1G01710	3.43807521540837	3.81060442587852	4.18910637931551	2.82180121528793	2.55760237525619	2.83486430247661	3.38895368153024	3.00083484471732	3.34595330970406	2.42901319434082	1.93622269074202	2.08351870842546
AT1G01720	2.16138870898336	3.31407988982494	1.93468510378643	4.47430645636532	5.39734844366576	5.36584918213894	5.87037531045645	5.58725387765799	5.6979386384476	4.56174626085556	4.76138888891608	5.3371775272958
AT1G01725	-1.5983481928415	1.20896318401073	-1.97220549182209	1.9394528039422	1.72858857206881	0.225239747521187	1.54490395949195	2.42892849682161	-0.514951080630281	0.0744804340215334	0.471554423738576	0.91662139968072
AT1G01730	3.2229909586518	3.00186694977079	2.23166684154356	4.07616602636265	4.66571136909675	4.19062599243985	4.19536720385402	4.28914865899947	4.8672278953589	3.97033697935508	3.97235647679573	3.49703997525693
AT1G01740	-1.15088921587028	-1.89537347580401	-0.255998457822681	-2.85062412668357	-1.22137074543159	0.321455062780491	-0.137905864627352	0.919914849333755	-0.695523326272102	0.617622759048063	0.351260190020864	0.97006065864218
AT1G04053	1.2460009366983	0.0306259427522165	1.28652877657808	0.208269562369998	-0.157240408011877	0.01111494216834	-0.298370536820598	-0.458596773919975	-0.354486408437035	0.673117871639766	0.956981250908817	-2.48937095999512
AT1G01770	3.07664650874213	2.08647917748573	2.75182104663662	1.63050256305305	-0.432874850625305	2.92950117661469	1.28659196390056	2.04390356660921	1.70136682629648	1.63169794425979	0.781894544350726	0.91662139968072
AT1G01780	5.01234113299802	4.3411191425773	5.10461010522874	4.95027577323673	4.00219221961279	3.97088509737981	4.23255212418767	2.96542950858612	3.55240418717148	4.51695006058011	3.74058757019381	4.8415459181195
AT1G01790	5.9014976942417	5.26045669575252	6.40593451033117	4.53308016579048	4.52621195610864	4.92376480706554	4.7815847677608	4.50179137018117	5.23521401129078	4.70175373960065	4.29122260723503	5.18163928128333
AT1G01800	4.74473655364242	5.37702303323348	4.70223901778606	4.77630166714128	5.22458464094924	4.56447544550367	4.43115024518444	4.48938101373174	4.53969313542193	4.48241581761516	4.73158007970003	4.71813149926367
AT1G01820	5.80253124344068	6.27755401379983	6.09465252095118	6.31344475463548	6.66737250346667	6.05638315730687	6.95457311278236	6.86513356360137	6.80962659267103	5.99708607298195	6.44148769843643	6.18658607294663
AT1G01830	4.16863238130999	4.22978165551828	3.22606413531418	3.58122166028183	3.49412331843179	3.72920252612886	2.77403795870745	3.34187176255239	3.19848597803968	4.22828577010057	3.93098604237587	3.81440978818199
AT1G01860	3.59685621704917	3.76569200400294	3.60845687146544	1.97380430873298	1.58598417662601	2.73358096663943	2.27237810468086	1.70060182092928	2.1118315957855	2.44504330415977	1.85006604699231	1.02159095928226
AT1G01900	-0.0133856921203465	-0.31041097508285	-1.97220549182209	-4.43558662740473	-1.22137074543159	0.122146254557084	-0.926401759433641	1.46740264463625	-0.354486408437035	0.827840466438408	-4.17230176603615	-0.0564115527190106
AT1G01910	5.71783046928074	5.38075092947023	5.9828216248307	6.20013149292632	5.81405322042231	5.81743899955837	6.78846816639669	6.22603497704224	6.40250875668842	5.81170362930277	5.70574914669239	6.20759656623917
AT1G01920	2.56427200797758	1.8487876197664	2.58676180036612	0.921965377213357	2.73705015081701	2.7681381886758	3.1298664602131	2.32101315765473	3.32239858172516	3.03795455799642	3.00760732397879	2.73559540500516
AT1G01930	2.23684093741283	2.08647917748573	1.6961730170867	0.990678127297371	1.91911047811824	2.26207651570156	1.10601971825874	1.74303708724968	1.01229592223459	2.32890170955062	1.31955133029353	1.95688526989445
AT1G01940	2.25510314380556	2.01151711980451	0.71229268244998	1.75423793147529	2.98453355311629	2.73358096663943	2.73310769465257	2.7943839672499	2.1118315957855	2.1251065070915	3.29530378404685	1.4175196356134
AT1G01950	2.23684093741283	2.32185724041666	2.40034867613524	2.1035721837033	1.9774091186829	2.05375927957683	1.1687554736067	2.07745612632023	0.0414422678941042	2.00047985257776	1.55561868852705	2.38837328995388
AT1G01960	5.66246444680877	5.41750947948035	6.28450866650581	6.5608868613285	5.45490692203551	6.16410954766078	6.29452614544278	4.821864703672	5.54860261701163	5.49498208502443	5.45887528966783	6.46656949129436
AT1G01970	4.07921130060143	4.31797380592943	4.34197310346034	2.84053777786951	2.65011451404573	3.42795468408117	3.68562898448569	2.89190047316416	2.21776504053457	3.06931872890575	1.31955133029353	2.63991205694985
AT1G01990	3.25963280228607	3.02110316863371	3.52877861625971	4.11516015797852	4.51641432904116	3.78932351856643	4.98267308343675	4.50795674298688	4.47707086194619	3.95362603914715	3.35907969448016	3.98636247097128
AT1G02000	2.74312008844151	2.04948497000353	2.72028547320351	2.61969580809646	1.88905324426206	2.66187950128524	2.94508350004368	1.86333132096739	2.40881333354263	2.71998447667774	2.01752279284387	2.40786946557968
AT1G02010	1.78771023946558	1.8487876197664	1.84979620619992	1.71416049209996	-0.0369461742941656	1.38962656542207	1.88095316262396	1.36243308503471	0.351782388506255	2.00047985257776	1.50012357593535	1.78861378730465
AT1G02020	4.27984209051371	3.83254697875919	5.00343779504072	4.99277354529956	3.52376878018031	3.92567946566228	4.81138331503911	3.00083484471732	4.22095331816561	3.13007275998485	4.2747814601735	4.16884052275668
AT1G02050	0.434073284850875	0.426554619083356	-0.387242991100934	1.39730338676002	-0.432874850625305	1.74229818374054	-2.06390528318358	-0.458596773919975	-0.354486408437035	0.154650782705517	0.685679229091423	0.142897255504396
AT1G02080	4.87147859715817	5.06578678233263	4.90167799789811	5.34084640504001	4.57894089962189	5.81743899955837	5.5285517540845	5.37429324024477	5.5435182239399	4.7922547631679	5.34929867368758	5.36487409422501
AT1G02090	4.22993256807065	4.77422027538433	4.86249127904828	4.68594688993531	5.32622490282508	5.24837271306871	5.11201845888018	5.11227089691539	5.4677070225962	5.02067656656458	5.13375992339219	4.87344956553915
AT1G02100	4.72521839744161	4.77987791024625	5.02940376103957	6.41538152357771	6.00482247565746	5.50296803849801	6.38317794302608	6.24091784316929	6.1280562153036	5.80705975713572	6.08154571895125	6.17809544496225
AT1G02110	0.872957526084086	1.75997835280855	1.41026414500032	1.29233382715847	0.745462390633208	1.63404529308852	1.22887646604427	1.82433718935152	1.32832341568227	0.617622759048063	1.38228708564149	1.84691242786932
